date_id,month_name,month_num,day_name,day_num,date,year,week_of_year,week_of_month
0,January,1,Wednesday,4,2020-01-01,2020,1,1
1,January,1,Thursday,5,2020-01-02,2020,1,1
2,January,1,Friday,6,2020-01-03,2020,1,1
3,January,1,Saturday,7,2020-01-04,2020,1,1
4,January,1,Sunday,1,2020-01-05,2020,2,2
5,January,1,Monday,2,2020-01-06,2020,2,2
6,January,1,Tuesday,3,2020-01-07,2020,2,2
7,January,1,Wednesday,4,2020-01-08,2020,2,2
8,January,1,Thursday,5,2020-01-09,2020,2,2
9,January,1,Friday,6,2020-01-10,2020,2,2
10,January,1,Saturday,7,2020-01-11,2020,2,2
11,January,1,Sunday,1,2020-01-12,2020,3,3
12,January,1,Monday,2,2020-01-13,2020,3,3
13,January,1,Tuesday,3,2020-01-14,2020,3,3
14,January,1,Wednesday,4,2020-01-15,2020,3,3
15,January,1,Thursday,5,2020-01-16,2020,3,3
16,January,1,Friday,6,2020-01-17,2020,3,3
17,January,1,Saturday,7,2020-01-18,2020,3,3
18,January,1,Sunday,1,2020-01-19,2020,4,4
19,January,1,Monday,2,2020-01-20,2020,4,4
20,January,1,Tuesday,3,2020-01-21,2020,4,4
21,January,1,Wednesday,4,2020-01-22,2020,4,4
22,January,1,Thursday,5,2020-01-23,2020,4,4
23,January,1,Friday,6,2020-01-24,2020,4,4
24,January,1,Saturday,7,2020-01-25,2020,4,4
25,January,1,Sunday,1,2020-01-26,2020,5,5
26,January,1,Monday,2,2020-01-27,2020,5,5
27,January,1,Tuesday,3,2020-01-28,2020,5,5
28,January,1,Wednesday,4,2020-01-29,2020,5,5
29,January,1,Thursday,5,2020-01-30,2020,5,5
30,January,1,Friday,6,2020-01-31,2020,5,5
31,February,2,Saturday,7,2020-02-01,2020,5,1
32,February,2,Sunday,1,2020-02-02,2020,6,2
33,February,2,Monday,2,2020-02-03,2020,6,2
34,February,2,Tuesday,3,2020-02-04,2020,6,2
35,February,2,Wednesday,4,2020-02-05,2020,6,2
36,February,2,Thursday,5,2020-02-06,2020,6,2
37,February,2,Friday,6,2020-02-07,2020,6,2
38,February,2,Saturday,7,2020-02-08,2020,6,2
39,February,2,Sunday,1,2020-02-09,2020,7,3
40,February,2,Monday,2,2020-02-10,2020,7,3
41,February,2,Tuesday,3,2020-02-11,2020,7,3
42,February,2,Wednesday,4,2020-02-12,2020,7,3
43,February,2,Thursday,5,2020-02-13,2020,7,3
44,February,2,Friday,6,2020-02-14,2020,7,3
45,February,2,Saturday,7,2020-02-15,2020,7,3
46,February,2,Sunday,1,2020-02-16,2020,8,4
47,February,2,Monday,2,2020-02-17,2020,8,4
48,February,2,Tuesday,3,2020-02-18,2020,8,4
49,February,2,Wednesday,4,2020-02-19,2020,8,4
50,February,2,Thursday,5,2020-02-20,2020,8,4
51,February,2,Friday,6,2020-02-21,2020,8,4
52,February,2,Saturday,7,2020-02-22,2020,8,4
53,February,2,Sunday,1,2020-02-23,2020,9,5
54,February,2,Monday,2,2020-02-24,2020,9,5
55,February,2,Tuesday,3,2020-02-25,2020,9,5
56,February,2,Wednesday,4,2020-02-26,2020,9,5
57,February,2,Thursday,5,2020-02-27,2020,9,5
58,February,2,Friday,6,2020-02-28,2020,9,5
59,February,2,Saturday,7,2020-02-29,2020,9,5
60,March,3,Sunday,1,2020-03-01,2020,10,2
61,March,3,Monday,2,2020-03-02,2020,10,2
62,March,3,Tuesday,3,2020-03-03,2020,10,2
63,March,3,Wednesday,4,2020-03-04,2020,10,2
64,March,3,Thursday,5,2020-03-05,2020,10,2
65,March,3,Friday,6,2020-03-06,2020,10,2
66,March,3,Saturday,7,2020-03-07,2020,10,2
67,March,3,Sunday,1,2020-03-08,2020,11,3
68,March,3,Monday,2,2020-03-09,2020,11,3
69,March,3,Tuesday,3,2020-03-10,2020,11,3
70,March,3,Wednesday,4,2020-03-11,2020,11,3
71,March,3,Thursday,5,2020-03-12,2020,11,3
72,March,3,Friday,6,2020-03-13,2020,11,3
73,March,3,Saturday,7,2020-03-14,2020,11,3
74,March,3,Sunday,1,2020-03-15,2020,12,4
75,March,3,Monday,2,2020-03-16,2020,12,4
76,March,3,Tuesday,3,2020-03-17,2020,12,4
77,March,3,Wednesday,4,2020-03-18,2020,12,4
78,March,3,Thursday,5,2020-03-19,2020,12,4
79,March,3,Friday,6,2020-03-20,2020,12,4
80,March,3,Saturday,7,2020-03-21,2020,12,4
81,March,3,Sunday,1,2020-03-22,2020,13,5
82,March,3,Monday,2,2020-03-23,2020,13,5
83,March,3,Tuesday,3,2020-03-24,2020,13,5
84,March,3,Wednesday,4,2020-03-25,2020,13,5
85,March,3,Thursday,5,2020-03-26,2020,13,5
86,March,3,Friday,6,2020-03-27,2020,13,5
87,March,3,Saturday,7,2020-03-28,2020,13,5
88,March,3,Sunday,1,2020-03-29,2020,14,6
89,March,3,Monday,2,2020-03-30,2020,14,6
90,March,3,Tuesday,3,2020-03-31,2020,14,6
91,April,4,Wednesday,4,2020-04-01,2020,14,1
92,April,4,Thursday,5,2020-04-02,2020,14,1
93,April,4,Friday,6,2020-04-03,2020,14,1
94,April,4,Saturday,7,2020-04-04,2020,14,1
95,April,4,Sunday,1,2020-04-05,2020,15,2
96,April,4,Monday,2,2020-04-06,2020,15,2
97,April,4,Tuesday,3,2020-04-07,2020,15,2
98,April,4,Wednesday,4,2020-04-08,2020,15,2
99,April,4,Thursday,5,2020-04-09,2020,15,2
100,April,4,Friday,6,2020-04-10,2020,15,2
101,April,4,Saturday,7,2020-04-11,2020,15,2
102,April,4,Sunday,1,2020-04-12,2020,16,3
103,April,4,Monday,2,2020-04-13,2020,16,3
104,April,4,Tuesday,3,2020-04-14,2020,16,3
105,April,4,Wednesday,4,2020-04-15,2020,16,3
106,April,4,Thursday,5,2020-04-16,2020,16,3
107,April,4,Friday,6,2020-04-17,2020,16,3
108,April,4,Saturday,7,2020-04-18,2020,16,3
109,April,4,Sunday,1,2020-04-19,2020,17,4
110,April,4,Monday,2,2020-04-20,2020,17,4
111,April,4,Tuesday,3,2020-04-21,2020,17,4
112,April,4,Wednesday,4,2020-04-22,2020,17,4
113,April,4,Thursday,5,2020-04-23,2020,17,4
114,April,4,Friday,6,2020-04-24,2020,17,4
115,April,4,Saturday,7,2020-04-25,2020,17,4
116,April,4,Sunday,1,2020-04-26,2020,18,5
117,April,4,Monday,2,2020-04-27,2020,18,5
118,April,4,Tuesday,3,2020-04-28,2020,18,5
119,April,4,Wednesday,4,2020-04-29,2020,18,5
120,April,4,Thursday,5,2020-04-30,2020,18,5
121,May,5,Friday,6,2020-05-01,2020,18,1
122,May,5,Saturday,7,2020-05-02,2020,18,1
123,May,5,Sunday,1,2020-05-03,2020,19,2
124,May,5,Monday,2,2020-05-04,2020,19,2
125,May,5,Tuesday,3,2020-05-05,2020,19,2
126,May,5,Wednesday,4,2020-05-06,2020,19,2
127,May,5,Thursday,5,2020-05-07,2020,19,2
128,May,5,Friday,6,2020-05-08,2020,19,2
129,May,5,Saturday,7,2020-05-09,2020,19,2
130,May,5,Sunday,1,2020-05-10,2020,20,3
131,May,5,Monday,2,2020-05-11,2020,20,3
132,May,5,Tuesday,3,2020-05-12,2020,20,3
133,May,5,Wednesday,4,2020-05-13,2020,20,3
134,May,5,Thursday,5,2020-05-14,2020,20,3
135,May,5,Friday,6,2020-05-15,2020,20,3
136,May,5,Saturday,7,2020-05-16,2020,20,3
137,May,5,Sunday,1,2020-05-17,2020,21,4
138,May,5,Monday,2,2020-05-18,2020,21,4
139,May,5,Tuesday,3,2020-05-19,2020,21,4
140,May,5,Wednesday,4,2020-05-20,2020,21,4
141,May,5,Thursday,5,2020-05-21,2020,21,4
142,May,5,Friday,6,2020-05-22,2020,21,4
143,May,5,Saturday,7,2020-05-23,2020,21,4
144,May,5,Sunday,1,2020-05-24,2020,22,5
145,May,5,Monday,2,2020-05-25,2020,22,5
146,May,5,Tuesday,3,2020-05-26,2020,22,5
147,May,5,Wednesday,4,2020-05-27,2020,22,5
148,May,5,Thursday,5,2020-05-28,2020,22,5
149,May,5,Friday,6,2020-05-29,2020,22,5
150,May,5,Saturday,7,2020-05-30,2020,22,5
151,May,5,Sunday,1,2020-05-31,2020,23,6
152,June,6,Monday,2,2020-06-01,2020,23,1
153,June,6,Tuesday,3,2020-06-02,2020,23,1
154,June,6,Wednesday,4,2020-06-03,2020,23,1
155,June,6,Thursday,5,2020-06-04,2020,23,1
156,June,6,Friday,6,2020-06-05,2020,23,1
157,June,6,Saturday,7,2020-06-06,2020,23,1
158,June,6,Sunday,1,2020-06-07,2020,24,2
159,June,6,Monday,2,2020-06-08,2020,24,2
